activity_id,user_id,activity_type,duration_mins,calories_burned,activity_date,name,age,gender,email,region_id,region_name
1,1,Lunges,10,119,2025-05-18,Brandon Russell,66,F,robersonnancy@example.com,202,"South Danny, Niue"
2,2,Boxing,76,828,2025-05-19,Evelyn Christian,52,M,derekhoffman@example.net,705,"Jeffreyport, Antigua and Barbuda"
3,3,Boxing,104,808,2025-05-29,Aaron Graham,18,M,johnsnicholas@example.org,261,"Baileyport, Montserrat"
4,4,Weight Lifting,36,204,2025-05-20,Jerome Whitehead,39,Other,estradadavid@example.org,516,"Cardenasberg, Ukraine"
5,5,Martial Arts,98,285,2025-06-13,Jeffrey Woods,70,Other,xmonroe@example.com,361,"Williamport, Azerbaijan"
6,6,Lunges,119,153,2025-05-18,Robert Clark,50,Other,alexander86@example.net,658,"Kellyfort, Indonesia"
7,7,Cricket,32,419,2025-06-02,Rebecca Carlson,48,Other,ameyer@example.com,199,"Carterbury, Portugal"
8,8,Dancing,98,867,2025-05-26,Sarah Brewer,27,F,mcintyredominique@example.org,789,"Anneport, Cook Islands"
9,9,Calisthenics,107,823,2025-06-11,Julian Henson,42,F,xhughes@example.com,278,"South Miguelview, Mauritania"
10,10,Lunges,23,308,2025-05-21,Kevin Decker,20,F,alexander53@example.com,517,"West Stephanieland, French Guiana"
11,11,Paddleboarding,46,102,2025-05-27,Misty Stout,34,Other,victoria38@example.com,134,"North Robert, Cape Verde"
12,12,Snowboarding,96,281,2025-05-27,Mrs. Kimberly Gray,36,F,iwilliams@example.com,937,"Port Meredithfurt, United Arab Emirates"
13,13,Surfing,26,544,2025-05-24,David Bell,37,Other,stephanie60@example.org,980,"Port Jose, New Caledonia"
14,14,Core Workout,30,521,2025-05-17,Katrina Mann,47,F,hamiltonalan@example.net,67,"North Susan, Lesotho"
15,15,Dancing,43,328,2025-05-30,Joshua Reid,27,Other,gallowayjose@example.com,488,"Duranview, Hungary"
16,16,Archery,89,452,2025-05-19,Justin Gutierrez,67,M,fowlertara@example.com,88,"North Charlesberg, Monaco"
17,17,Stretching,18,959,2025-06-03,Sergio Thomas,41,M,juliesummers@example.net,719,"West Michelleberg, Uruguay"
