diet_id,user_id,meal_type,food_items,calories_intake,meal_date,name,age,gender,email,region_id,region_name
1,1,Snack,"Mutton Rogan Josh, Cereal",930,2025-05-29,Brandon Russell,66,F,robersonnancy@example.com,202,"South Danny, Niue"
2,2,Snack,"Coffee, Spaghetti Bolognese",1111,2025-05-23,Evelyn Christian,52,M,derekhoffman@example.net,705,"Jeffreyport, Antigua and Barbuda"
3,3,Breakfast,"Porridge, Fried Rice, Pad Thai, Green Tea",1183,2025-05-22,Aaron Graham,18,M,johnsnicholas@example.org,261,"Baileyport, Montserrat"
4,4,Dinner,"Idli, Fried Rice, Spring Rolls, Upma, Muesli",427,2025-05-24,Jerome Whitehead,39,Other,estradadavid@example.org,516,"Cardenasberg, Ukraine"
5,5,Breakfast,"Pho, Burrito, Pad Thai",866,2025-06-08,Jeffrey Woods,70,Other,xmonroe@example.com,361,"Williamport, Azerbaijan"
6,6,Lunch,"Caesar Salad, Hot Dog",860,2025-05-24,Robert Clark,50,Other,alexander86@example.net,658,"Kellyfort, Indonesia"
7,7,Dinner,"Poha, Idli, Dal Tadka, Rajma Chawal",276,2025-05-28,Rebecca Carlson,48,Other,ameyer@example.com,199,"Carterbury, Portugal"
8,8,Breakfast,"Smoothie Bowl, Ramen",469,2025-06-06,Sarah Brewer,27,F,mcintyredominique@example.org,789,"Anneport, Cook Islands"
9,9,Dinner,"Burger, Scrambled Egg, Green Tea, Fried Rice",544,2025-06-02,Julian Henson,42,F,xhughes@example.com,278,"South Miguelview, Mauritania"
10,10,Dinner,"Butter Naan, Hot Dog, Burrito, Pad Thai, Ramen",794,2025-06-14,Kevin Decker,20,F,alexander53@example.com,517,"West Stephanieland, French Guiana"
11,11,Lunch,"Sambar Rice, Muesli",661,2025-05-31,Misty Stout,34,Other,victoria38@example.com,134,"North Robert, Cape Verde"
12,12,Breakfast,"Caesar Salad, Vada, Chicken Wrap, Masala Dosa",145,2025-05-29,Mrs. Kimberly Gray,36,F,iwilliams@example.com,937,"Port Meredithfurt, United Arab Emirates"
13,13,Breakfast,"Green Curry, Bibimbap, Tacos",180,2025-06-04,David Bell,37,Other,stephanie60@example.org,980,"Port Jose, New Caledonia"
14,14,Breakfast,"Ramen, Caesar Salad, Scrambled Egg",1081,2025-05-23,Katrina Mann,47,F,hamiltonalan@example.net,67,"North Susan, Lesotho"
15,15,Breakfast,"Rajma Chawal, Nachos, Tandoori Chicken, Chicken Curry",210,2025-06-13,Joshua Reid,27,Other,gallowayjose@example.com,488,"Duranview, Hungary"
16,16,Snack,"Sambar Rice, Coffee, French Fries, Omelette",1024,2025-05-28,Justin Gutierrez,67,M,fowlertara@example.com,88,"North Charlesberg, Monaco"
17,17,Dinner,"Yogurt, Omelette, Grilled Chicken, Fried Rice",289,2025-05-28,Sergio Thomas,41,M,juliesummers@example.net,719,"West Michelleberg, Uruguay"
18,18,Lunch,"Chicken Wrap, Cereal, Grilled Chicken",303,2025-06-06,Joseph Medina,63,M,robinbarton@example.com,190,"Joneston, Iran"
19,19,Snack,"Caesar Salad, Green Tea, Grilled Chicken",959,2025-05-21,Jean Martinez,64,M,zachary29@example.com,926,"Port Kimberlytown, Malaysia"
20,20,Lunch,"Mac and Cheese, Cereal, Pad Thai, Poha",360,2025-06-05,Patrick Gibson,25,M,baileymonica@example.net,72,"Sarahborough, Mali"
21,21,Breakfast,"Rajma Chawal, Green Tea",579,2025-06-11,Michelle Hayes,22,Other,bmoody@example.org,381,"Leeberg, Guam"
22,22,Snack,"Grilled Chicken, Greek Salad",418,2025-05-27,Shelby Robertson,38,M,matthewgarcia@example.net,710,"West Nancy, Bosnia and Herzegovina"
23,23,Snack,"Vada, Milkshake, Lemon Rice, Scrambled Egg, French Fries",1133,2025-06-14,Steven Peterson,46,F,sarah33@example.com,80,"Sarahville, Algeria"
24,24,Dinner,"Masala Dosa, Green Tea",1195,2025-06-01,Andrew Mason,19,M,williamchang@example.org,265,"New John, Cyprus"
25,25,Lunch,"Pho, Beef Steak, Spaghetti Bolognese",962,2025-06-09,Justin Miller,38,Other,christopher88@example.org,797,"Christopherbury, Cambodia"
26,26,Lunch,"Green Tea, Lamb Chops, Milkshake, Smoothie Bowl",424,2025-05-31,Rhonda Ferguson,21,Other,zvasquez@example.org,969,"East Jessica, Saint Lucia"
27,27,Snack,"Grilled Chicken, Dal Tadka, Masala Dosa, Chicken Wrap, Beef Steak",227,2025-05-29,Ross Lane,70,F,opeterson@example.net,890,"South Kent, Montserrat"
28,28,Dinner,"Lemon Rice, Manchurian, Burger, Kadhi Pakora, Tandoori Chicken",722,2025-05-25,Lisa Smith,26,Other,lcooper@example.org,942,"Knoxstad, Cyprus"
29,29,Breakfast,"Pasta Alfredo, Lamb Chops, Masala Dosa, Ramen",230,2025-05-17,Heather Murray,23,M,nstewart@example.com,126,"Stephaniemouth, Marshall Islands"
30,30,Dinner,"Vada, Green Tea, Tandoori Chicken, Mac and Cheese",928,2025-05-23,Paul Hoover,25,F,patrickshaffer@example.com,105,"South Rachelborough, Jordan"
31,31,Lunch,"Fruit Salad, Manchurian",300,2025-06-15,Derek Middleton,66,Other,srichardson@example.org,284,"West Wendyville, Yemen"
32,32,Dinner,"Dal Tadka, Spring Rolls, Pav Bhaji, Chicken Curry",804,2025-06-02,Kathryn Jacobs,59,F,raymondbrett@example.com,701,"East Lisa, Libyan Arab Jamahiriya"
33,33,Snack,"Smoothie Bowl, Buttermilk, Milkshake",122,2025-05-30,John Cannon,38,F,john74@example.com,939,"Brightview, Palau"
