mood_id,user_id,mood_rating,mood_notes,mood_date,name,age,gender,email,region_id,region_name
1,1,2,Deep in thought.,2025-06-06,Brandon Russell,66,F,robersonnancy@example.com,202,"South Danny, Niue"
2,2,7,Hurt by someone’s words.,2025-06-06,Evelyn Christian,52,M,derekhoffman@example.net,705,"Jeffreyport, Antigua and Barbuda"
3,3,2,Laughing helped reduce stress.,2025-06-10,Aaron Graham,18,M,johnsnicholas@example.org,261,"Baileyport, Montserrat"
4,4,8,Messed up something and feeling guilty.,2025-06-07,Jerome Whitehead,39,Other,estradadavid@example.org,516,"Cardenasberg, Ukraine"
5,5,2,Sick and a bit cranky.,2025-06-15,Jeffrey Woods,70,Other,xmonroe@example.com,361,"Williamport, Azerbaijan"
6,6,2,Restless sleep last night.,2025-06-06,Robert Clark,50,Other,alexander86@example.net,658,"Kellyfort, Indonesia"
7,7,4,Overthinking everything today.,2025-06-11,Rebecca Carlson,48,Other,ameyer@example.com,199,"Carterbury, Portugal"
8,8,2,Eager for change.,2025-06-09,Sarah Brewer,27,F,mcintyredominique@example.org,789,"Anneport, Cook Islands"
9,9,1,Overwhelmed with deadlines.,2025-06-14,Julian Henson,42,F,xhughes@example.com,278,"South Miguelview, Mauritania"
10,10,9,"Panic attack earlier, now calming down.",2025-06-07,Kevin Decker,20,F,alexander53@example.com,517,"West Stephanieland, French Guiana"
11,11,7,Hopeful about the future.,2025-06-09,Misty Stout,34,Other,victoria38@example.com,134,"North Robert, Cape Verde"
12,12,1,Overstimulated from social interaction.,2025-06-09,Mrs. Kimberly Gray,36,F,iwilliams@example.com,937,"Port Meredithfurt, United Arab Emirates"
13,13,3,Hard time getting out of bed.,2025-06-08,David Bell,37,Other,stephanie60@example.org,980,"Port Jose, New Caledonia"
14,14,3,Lack of motivation lately.,2025-06-06,Katrina Mann,47,F,hamiltonalan@example.net,67,"North Susan, Lesotho"
15,15,6,Hope is back.,2025-06-10,Joshua Reid,27,Other,gallowayjose@example.com,488,"Duranview, Hungary"
16,16,9,Still processing emotions.,2025-06-06,Justin Gutierrez,67,M,fowlertara@example.com,88,"North Charlesberg, Monaco"
17,17,2,Lack of motivation lately.,2025-06-11,Sergio Thomas,41,M,juliesummers@example.net,719,"West Michelleberg, Uruguay"
18,18,8,Nothing went as planned.,2025-06-06,Joseph Medina,63,M,robinbarton@example.com,190,"Joneston, Iran"
19,19,8,Messed up something and feeling guilty.,2025-06-09,Jean Martinez,64,M,zachary29@example.com,926,"Port Kimberlytown, Malaysia"
20,20,4,Finally feel seen.,2025-06-10,Patrick Gibson,25,M,baileymonica@example.net,72,"Sarahborough, Mali"
21,21,2,Mood fluctuated a lot today.,2025-06-15,Michelle Hayes,22,Other,bmoody@example.org,381,"Leeberg, Guam"
22,22,7,Need some alone time.,2025-06-06,Shelby Robertson,38,M,matthewgarcia@example.net,710,"West Nancy, Bosnia and Herzegovina"
23,23,7,Mood fluctuated a lot today.,2025-06-07,Steven Peterson,46,F,sarah33@example.com,80,"Sarahville, Algeria"
